kepoi_name,koi_period,koi_prad,koi_teq,p_planet_calibrated,conformal_verdict
K01972.01,17.79108667,2.88,830.0,1.0,CONFIRMED
K03394.01,15.5764061,1.79,793.0,1.0,CONFIRMED
K00353.01,152.1060435,11.58,458.0,1.0,CONFIRMED
K00298.02,57.3840375,1.62,397.0,1.0,CONFIRMED
K02159.01,7.5966998,1.32,964.0,1.0,CONFIRMED
K02656.01,6.77367892,1.33,1083.0,1.0,CONFIRMED
K01145.01,30.5872153,2.32,621.0,1.0,CONFIRMED
K03864.02,18.2572722,0.94,547.0,1.0,CONFIRMED
K01573.02,7.136922,1.38,956.0,1.0,CONFIRMED
K01628.03,37.8404232,1.76,607.0,1.0,CONFIRMED
K03029.01,18.9763286,2.24,638.0,1.0,CONFIRMED
K02550.01,18.0243482,1.98,683.0,1.0,CONFIRMED
K00426.01,16.30141333,3.84,805.0,1.0,CONFIRMED
K01590.01,12.89006728,1.93,620.0,1.0,CONFIRMED
K01856.01,46.2991052,4.33,592.0,1.0,CONFIRMED
K00350.01,12.99065074,2.02,790.0,1.0,CONFIRMED
K04318.01,14.8162925,1.57,912.0,0.9983333333333334,CONFIRMED
K01681.01,6.93910337,1.41,445.0,0.9983333333333334,CONFIRMED
K01590.03,4.74666128,1.3,865.0,0.9983333333333334,CONFIRMED
K04205.01,1.166960319,0.88,1596.0,0.9983333333333334,CONFIRMED
K01660.01,35.6364022,1.99,537.0,0.9983333333333334,CONFIRMED
K02579.03,10.30148508,1.6,934.0,0.9983333333333334,CONFIRMED
K01934.01,28.78270955,2.11,443.0,0.9983333333333334,CONFIRMED
K04273.01,17.3731821,1.31,901.0,0.9983333333333334,CONFIRMED
K01656.01,51.3901452,3.62,570.0,0.9983333333333334,CONFIRMED
K04526.01,30.5392931,2.72,669.0,0.9983333333333334,CONFIRMED
K00266.02,47.7439509,1.74,575.0,0.9983333333333334,CONFIRMED
K01303.01,34.2966363,3.29,584.0,0.9983333333333334,CONFIRMED
K04541.01,8.5291223,2.08,911.0,0.9983333333333334,CONFIRMED
K04766.01,5.56676609,1.12,859.0,0.9983333333333334,CONFIRMED
K01338.02,42.0370662,1.66,527.0,0.9983333333333334,CONFIRMED
K03323.01,14.3196417,2.06,850.0,0.9983333333333334,CONFIRMED
K01271.01,162.0479502,11.52,437.0,0.9983333333333334,CONFIRMED
K01861.01,17.50441726,3.56,824.0,0.9983333333333334,CONFIRMED
K02124.01,42.3375799,1.45,311.0,0.9983333333333334,CONFIRMED
K04021.01,7.23531329,1.53,1207.0,0.9983333333333334,CONFIRMED
K02657.01,5.22402436,0.58,941.0,0.9983333333333334,CONFIRMED
K02963.02,7.35101287,1.42,1064.0,0.9983333333333334,CONFIRMED
K02942.01,13.84301228,1.98,699.0,0.9983333333333334,CONFIRMED
K02958.01,31.6084371,1.89,634.0,0.9983333333333334,CONFIRMED
K02927.01,24.4359956,2.31,674.0,0.9983333333333334,CONFIRMED
K02900.01,46.151253,2.08,423.0,0.9983333333333334,CONFIRMED
K02696.02,44.5643831,5.8,940.0,0.9983333333333334,CONFIRMED
K02551.01,16.4793229,1.53,537.0,0.9983333333333334,CONFIRMED
K00005.01,4.780327581,7.14,1441.0,0.9983333333333334,CONFIRMED
K02598.01,29.2254372,1.35,614.0,0.9983333333333334,CONFIRMED
K02971.01,6.09595681,1.26,1259.0,0.9983333333333334,CONFIRMED
K01884.01,23.11707222,4.37,548.0,0.9983333333333334,CONFIRMED
K02560.01,18.1209388,1.68,543.0,0.9983333333333334,CONFIRMED
K02554.02,10.27127527,0.94,510.0,0.9983333333333334,CONFIRMED
K02248.03,0.76196247,1.08,1638.0,0.9983333333333334,CONFIRMED
K00227.01,17.65737838,2.45,350.0,0.9983333333333334,CONFIRMED
K02217.01,37.8034121,2.95,460.0,0.9983333333333334,CONFIRMED
K00501.01,24.7962801,2.7,664.0,0.9983333333333334,CONFIRMED
K03437.02,34.7496038,3.51,702.0,0.9983333333333334,CONFIRMED
K02220.04,7.66462913,1.6,1106.0,0.9983333333333334,CONFIRMED
K04149.01,9.54699216,1.71,996.0,0.9983333333333334,CONFIRMED
K03209.01,11.91256675,2.61,1242.0,0.9983333333333334,CONFIRMED
K00268.01,110.3783828,3.02,473.0,0.9983333333333334,CONFIRMED
K06475.01,4.84505985,1.54,723.0,0.9983333333333334,CONFIRMED
K00928.01,2.494170338,2.42,1194.0,0.9983333333333334,CONFIRMED
K03448.01,32.510844,2.62,680.0,0.9983333333333334,CONFIRMED
K05854.01,240.57135,2.93,302.0,0.9983333333333334,CONFIRMED
K03396.01,36.2580749,1.82,516.0,0.9983333333333334,CONFIRMED
K03341.01,27.0965146,2.13,700.0,0.9983333333333334,CONFIRMED
K03401.01,17.9559673,1.96,750.0,0.9983333333333334,CONFIRMED
K01750.02,2.53742164,0.93,1220.0,0.9983333333333334,CONFIRMED
K03374.02,34.1086562,1.95,739.0,0.9983333333333334,CONFIRMED
K03936.01,141.608555,2.98,290.0,0.9983333333333334,CONFIRMED
K03340.02,13.7281373,1.06,800.0,0.9983333333333334,CONFIRMED
K03371.01,58.1263775,1.32,404.0,0.9983333333333334,CONFIRMED
K02135.02,20.1890396,1.39,794.0,0.9973701342407878,CONFIRMED
K02264.02,7.25101997,0.91,807.0,0.9956521739130434,CONFIRMED
K03007.01,11.1916199,1.47,782.0,0.9956521739130434,CONFIRMED
K02357.01,2.42088277,2.27,1616.0,0.9955555555555555,CONFIRMED
K02009.01,86.7490807,2.23,398.0,0.9952049566703483,CONFIRMED
K04245.01,24.6683831,1.76,788.0,0.993888888888889,CONFIRMED
K01527.01,192.667139,3.64,283.0,0.993888888888889,CONFIRMED
K03460.01,62.596544,2.25,559.0,0.993888888888889,CONFIRMED
K00319.01,46.15119482,10.02,703.0,0.993888888888889,CONFIRMED
K02531.01,17.6997392,1.96,523.0,0.993888888888889,CONFIRMED
K04235.01,66.6434565,2.99,476.0,0.993888888888889,CONFIRMED
K02294.01,131.485184,3.03,400.0,0.993888888888889,CONFIRMED
K02373.01,147.281212,2.28,353.0,0.993888888888889,CONFIRMED
K04431.01,19.5650801,0.97,791.0,0.993888888888889,CONFIRMED
K03043.01,3.08942807,1.07,1361.0,0.993888888888889,CONFIRMED
K00211.01,124.03589939,11.13,413.0,0.993888888888889,CONFIRMED
K02357.02,15.9042402,3.79,863.0,0.993888888888889,CONFIRMED
K02641.01,3.55557922,0.84,1270.0,0.993888888888889,CONFIRMED
K00415.01,166.7876551,7.03,334.0,0.993888888888889,CONFIRMED
K00522.01,12.82993461,3.31,734.0,0.993888888888889,CONFIRMED
K06246.01,9.13315062,1.48,900.0,0.993888888888889,CONFIRMED
K02186.01,14.97974335,3.79,620.0,0.993888888888889,CONFIRMED
K02516.01,2.81043228,1.43,1701.0,0.992450980392157,CONFIRMED
K04377.01,19.8751355,2.49,1061.0,0.992450980392157,CONFIRMED
K03123.01,15.2311195,1.94,800.0,0.992450980392157,CONFIRMED
K01537.01,10.19154678,1.39,1144.0,0.992450980392157,CONFIRMED
K03469.01,60.532988,1.91,420.0,0.992450980392157,CONFIRMED
K02572.01,6.37705295,2.15,935.0,0.992450980392157,CONFIRMED
K03117.01,6.06664931,0.87,915.0,0.992450980392157,CONFIRMED
K03037.01,5.4654174,1.23,927.0,0.992450980392157,CONFIRMED
K02158.02,6.68231249,2.09,1350.0,0.992450980392157,CONFIRMED
