kepoi_name,kepler_name,catalog,p_planet,verdict,unseen,ra,dec,koi_period,koi_prad,koi_teq,koi_depth,koi_duration,koi_model_snr,koi_insol,koi_impact,koi_count,koi_steff,koi_srad,koi_kepmag,duty_cycle,dicco_offset_sig,prad_over_srad
K00752.01,Kepler-227 b,CONFIRMED,1.0,CONFIRMED,False,291.93423,48.141651,9.48803557,2.26,793.0,615.8,2.9575,35.8,93.59,0.146,2,5455.0,0.927,15.347,0.012987848301950104,1.1764705882352942,0.022346214047067454
K00752.02,Kepler-227 c,CONFIRMED,1.0,CONFIRMED,False,291.93423,48.141651,54.4183827,2.83,443.0,874.8,4.507,25.8,9.11,0.586,2,5455.0,0.927,15.347,0.003450886581873126,1.0833333333333335,0.027982206085487123
K00753.01,,CANDIDATE,0.009087174935652162,FALSE POSITIVE,True,297.00482,48.134129,19.89913995,14.6,638.0,10829.0,1.7822,76.3,39.3,0.969,1,5853.0,0.868,15.436,0.0037317358197349296,0.5833333333333334,0.15417302014386666
K00754.01,,FALSE POSITIVE,0.001985368695914888,FALSE POSITIVE,False,285.53461,48.28521,1.736952453,33.46,1395.0,8079.2,2.40641,505.6,891.96,1.276,1,5805.0,0.791,15.597,0.057725865299395926,3.6582278481012653,0.3877258016109277
K00755.01,Kepler-664 b,CONFIRMED,1.0,CONFIRMED,False,288.75488,48.2262,2.525591777,2.75,1406.0,603.3,1.6545,40.9,926.16,0.701,1,6031.0,1.046,15.509,0.027295583010603065,0.7142857142857143,0.024097736915805135
K00756.01,Kepler-228 d,CONFIRMED,1.0,CONFIRMED,False,296.28613,48.22467,11.09432054,3.9,835.0,1517.5,4.5945,66.5,114.81,0.538,3,6046.0,0.972,15.714,0.017255450598329294,0.6153846153846154,0.03677677066005817
K00756.02,Kepler-228 c,CONFIRMED,1.0,CONFIRMED,False,296.28613,48.22467,4.13443512,2.77,1160.0,686.0,3.1402,40.2,427.65,0.762,3,6046.0,0.972,15.714,0.031646806122009395,1.625,0.026120937109836186
K00756.03,Kepler-228 b,CONFIRMED,0.9983333333333334,CONFIRMED,True,296.28613,48.22467,2.56658897,1.59,1360.0,226.5,2.429,15.0,807.74,0.755,3,6046.0,0.972,15.714,0.03943301187542052,1.607142857142857,0.014993606499869869
K00114.01,,FALSE POSITIVE,0.0013422818791946308,FALSE POSITIVE,False,298.86435,42.151569,7.36178958,39.21,1342.0,233.7,5.022,47.7,767.22,1.169,1,6227.0,1.958,12.66,0.028423795291361752,120.67567567567568,0.1835521197203604
K00757.01,Kepler-229 c,CONFIRMED,1.0,CONFIRMED,False,286.99948,48.37579,16.06864674,5.76,600.0,4914.3,3.5347,161.9,30.75,0.052,3,5031.0,0.848,15.841,0.009165623530701047,0.5866666666666667,0.062258962696504855
K00001.01,Kepler-1 b,CONFIRMED,0.9673982056590752,CONFIRMED,False,286.80847,49.316399,2.470613377,13.04,1339.0,14231.0,1.74319,4304.3,761.46,0.818,1,5820.0,0.964,11.338,0.02939873852494998,1.875,0.12398690150647888
K00002.01,Kepler-2 b,CONFIRMED,0.7212380952380953,NEEDS REVIEW (ambiguous),False,292.24728,47.969521,2.204735417,16.1,2048.0,6674.7,3.88864,5945.9,4148.92,0.224,1,6440.0,1.952,10.463,0.0734902997508597,5.671428571428572,0.07559991585400672
K00010.01,Kepler-8 b,CONFIRMED,0.6768881118881118,NEEDS REVIEW (ambiguous),False,281.28812,42.45108,3.522498429,14.59,1521.0,9145.7,3.19843,1741.5,1264.67,0.631,1,6225.0,1.451,13.563,0.03783335020663161,0.29850746268656714,0.09216438487695518
K00112.02,Kepler-466 c,CONFIRMED,1.0,CONFIRMED,False,295.64871,48.49556,3.709214104,1.16,1206.0,131.1,2.6302,50.6,500.46,0.051,2,5833.0,1.022,12.772,0.029545791532627763,1.4499999999999997,0.010403568782836265
K00742.01,,FALSE POSITIVE,0.00313479398327121,FALSE POSITIVE,False,297.07993,47.597401,11.521446064,150.51,753.0,17984.0,3.6399,622.1,75.88,2.483,1,5795.0,0.848,15.472,0.013163495203426405,0.19402985074626863,1.6268396658769002
K00743.01,,FALSE POSITIVE,0.13476190476190478,FALSE POSITIVE,True,289.25821,47.635319,19.40393776,7.18,523.0,8918.7,12.2155,214.7,17.69,0.804,1,5043.0,0.68,15.487,0.026230715278622224,0.13235294117647056,0.09678115059039197
K00744.01,,FALSE POSITIVE,0.009087174935652162,FALSE POSITIVE,True,295.81454,47.69035,19.221388942,49.29,698.0,74284.0,4.79843,2317.0,55.97,1.065,2,6117.0,0.947,15.341,0.010401672009063981,0.08955223880597014,0.4770721764034624
K00745.01,,FALSE POSITIVE,0.4555232448710709,NEEDS REVIEW (ambiguous),True,297.15442,47.668701,16.46983774,7.94,595.0,10479.0,9.4378,303.4,29.61,0.292,1,5152.0,0.786,15.788,0.023876474855098764,0.5882352941176471,0.09259194473403722
K00746.01,Kepler-660 b,CONFIRMED,0.9983333333333334,CONFIRMED,False,288.13824,47.724449,9.27358173,2.47,649.0,1288.3,3.2875,87.2,41.85,0.387,1,4856.0,0.696,15.302,0.014770901972378117,0.6941176470588234,0.0325284195665687
K00747.01,Kepler-661 b,CONFIRMED,0.9983333333333334,CONFIRMED,True,283.71088,47.86327,6.02930329,2.85,678.0,1912.7,1.5821,65.4,50.04,0.258,1,4537.0,0.672,15.784,0.010933408084258661,1.0,0.03887324865784994
K00748.01,,FALSE POSITIVE,0.009087174935652162,FALSE POSITIVE,False,283.76547,47.804298,2.696370652,1.58,1066.0,397.9,3.6129,48.2,305.34,0.044,1,4989.0,0.819,15.269,0.05582967604559137,4.60377358490566,0.017682694126323825
K00749.01,Kepler-226 c,CONFIRMED,1.0,CONFIRMED,False,292.37613,47.880989,5.349553819,2.55,919.0,831.0,3.0278,60.6,168.99,0.092,3,5185.0,0.91,15.416,0.02358296366423253,0.3076923076923077,0.0256846727974134
